ID,Nombre,Latitud,Longitud
1,SANPEDRODECHOQUE-NARANJOS,-11.865682,-77.053401
2,GLORIABAMBA,-11.843413,-77.101685
3,LASVEGAS,-11.864887,-77.074087
4,PANCHAPAULADERECHO,-11.856485,-77.067177
5,SANTAPAULA,-11.853834,-77.067023
6,LOMASZAPALLAL,-11.827395,-77.100564
7,CALICHE,-11.847793,-77.096529
8,ANIMASDELSUR,-11.9088,-77.071027
9,A3,-11.913825,-77.086113
10,EUCALIPTOS,-11.912816,-77.07406
11,GALLINAZOZCASAHUERTA,-11.89272,-77.067824
12,SANTABARBARA,-11.890006,-77.06854
13,CAMINOREAL,-11.862633,-77.080763
14,ORQUIDEAS-CASUARINAS,-11.864383,-77.074196
15,LOMASLADODERECHO,-11.829034,-77.101385
16,PALMITOS--PANCHAPAULAIZQUIERDA,-11.855283,-77.065526
17,CHAVINDEHUANTAR,-11.833958,-77.090803
18,PRIMERODEMAYO,-11.859587,-77.09261
19,ANIMAS,-11.908239,-77.072579
20,LADERASIIEXPLANADA,-11.924502,-77.086303
21,LADERASIIEXPLANADAU3,-11.92355,-77.085901
22,VIRGENDELFATIMA,-11.842888,-77.101275
23,CERROGORDO,-11.850201,-77.093575
24,ELPORVENIR,-11.84901,-77.090315
25,PANAMERICANORTE,-11.870153,-77.070883
26,AVENIDASDELSUR,-11.87649,-77.069217
27,COLONIAELDORADO,-11.842778,-77.101152
28,ARENITAS,-11.836012,-77.109654
29,COMIT6,7,8MONTEDESENAIN,-11.828844,-77.114575
30,LADERASPARTESALTASMZZ,-11.919535,-77.089916
31,LADERASPARTESALTASMZS,-11.919967,-77.088759
32,COPACABANALOSSAUCES,-11.855466,-77.085657
33,PSJESANMIGUEL,-11.857661,-77.082985
34,LAGRAMAPARTESALTAS,-11.853703,-77.089661
35,LOMASPRIMERODEMAYOYBELAUNDETERRY,-11.858796,-77.100433
36,OROPEZA_PARTESALTAS,-11.831112,-77.113764
37,CHAVARRIA,-11.873784,-77.074336
38,SHANGRILA,-11.916262,-77.076041
39,CAPITANA,-11.901997,-77.070017
40,MARIAJESUS,-11.931775,-77.089385
41,ALAMEDADELNORTE,-11.843215,-77.088148
42,ZAPALLAL,-11.84423,-77.097999
43,PSJEELPARRAL,-11.868837,-77.076453
44,PSJEAVITUNI,-11.859406,-77.083873
45,ALF.UGARTEPARTESALTAS,-11.853709,-77.08966
46,TIWINZAPARTESALTAS,-11.84857,-77.110822
47,5DEOCTUBRE,-11.829117,-77.101429
48,ELPARASO,-11.829483,-77.118153
49,URB.ELGRAMADAL,-11.868016,-77.074683
50,URB.LOSPORTALES,-11.880963,-77.068752
51,TIWINZA-LAALBORADA,-11.843458,-77.101687
52,ELDORADOLASTORRES,-11.842823,-77.101244
53,VALLEHERMOSO,-11.833522,-77.113398
54,OROPEZA,-11.829273,-77.113028
55,PRIMAVERAALFONSOUGARTE,-11.868034,-77.074758
56,LASFRESASYLAMERCED,-11.886316,-77.068432
57,ROSALUZAYB,-11.877791,-77.064573
58,PCANTIGUAPANAMERICANA,-11.882541,-77.07451
59,PCANTIGUAENSENADA,-11.922962,-77.080146
60,PCCIRCUNVALACIN,-11.867413,-77.080978
61,NUEVAESPERANZA,-11.839134,-77.085043
62,BELLAVISTA,-11.862161,-77.090474
63,CERROVERDE,-11.81783,-77.098557
64,ELICEOCOLLAZO,-11.829845,-77.111404
65,CERCADOA,-11.833063,-77.113094
66,LAMPADEORO,-11.833727,-77.113499
67,BELLAAURORA,-11.831305,-77.111463
68,SANTAROSABAJO(AMBOSLADOSA),-11.89544,-77.068819
69,SANTAROSABAJO(AMBOSLADOSB),-11.890187,-77.068093
70,LADERASDECHILLNPARTEBAJA,-11.920417,-77.084508
71,SANTAROSAPARTEALTA,-11.875144,-77.074489
72,ENSENADAIZQUIERDA,-11.929558,-77.097852
73,5ETAPASDECHILLN,-11.925861,-77.079256
74,ENSENADAPARTEALTA(LADODERECHOYIZQUIERDO),-11.928204,-77.080451
75,PORTALES_FOVIMAR,-11.938241,-77.08661
76,ENSENADADERECHA,-11.936887,-77.093327
77,LADERAS_VALLECHILLON,-11.91396,-77.074181
78,HIJOSDELUYA,-11.844168,-77.09794
79,CERCADOB,-11.935925,-77.083327
80,AVENIDASPRINCIPALES,-11.935659,-77.083107
81,PANAMERICANANORTE,-11.913262,-77.073611
